"Tabela 3939 - Efetivo dos rebanhos, por tipo de rebanho"
"Variável - Efetivo dos rebanhos (Cabeças)"
"Nível";"Cód.";"Brasil, Grande Região, Unidade da Federação, Município, Mesorregião Geográfica e Microrregião Geográfica";"Ano x Tipo de rebanho"
"Nível";"Cód.";"Brasil, Grande Região, Unidade da Federação, Município, Mesorregião Geográfica e Microrregião Geográfica";"2011";"2012";"2013";"2014";"2015";"2016";"2017"
"Nível";"Cód.";"Brasil, Grande Região, Unidade da Federação, Município, Mesorregião Geográfica e Microrregião Geográfica";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino"
"MU";"1301803";"Ipixuna (AM)";"15500";"15168";"12163";"13200";"11485";"12193";"12957"
"MU";"1301852";"Iranduba (AM)";"7200";"7333";"7598";"6386";"6580";"6607";"7200"
"MU";"1301902";"Itacoatiara (AM)";"50313";"71699";"67818";"52218";"52729";"44800";"45029"
"MU";"1301951";"Itamarati (AM)";"2500";"1732";"1980";"1618";"1748";"1786";"1448"
"MU";"1302009";"Itapiranga (AM)";"6180";"6234";"6000";"4660";"3776";"3522";"3624"
"MU";"1302108";"Japurá (AM)";"601";"600";"757";"863";"924";"882";"824"
"MU";"1302207";"Juruá (AM)";"1534";"1589";"1573";"1282";"5600";"4500";"1400"
"MU";"1302306";"Jutaí (AM)";"730";"600";"589";"650";"850";"431";"445"
"MU";"1302405";"Lábrea (AM)";"287500";"331213";"339482";"339928";"313665";"315237";"310000"
"MU";"1302504";"Manacapuru (AM)";"22648";"18200";"21326";"17503";"14780";"14135";"11298"
"MU";"1302553";"Manaquiri (AM)";"9091";"9370";"10852";"10978";"8595";"7610";"7739"
"MU";"1302603";"Manaus (AM)";"6800";"6200";"6178";"4179";"3951";"4338";"5225"
"MU";"1302702";"Manicoré (AM)";"102657";"100150";"105820";"100833";"100837";"95100";"110900"
"MU";"1302801";"Maraã (AM)";"735";"828";"797";"828";"1700";"1151";"1160"
"MU";"1302900";"Maués (AM)";"18500";"16685";"17102";"17698";"14700";"11916";"13364"
"MU";"1303007";"Nhamundá (AM)";"33393";"40824";"41831";"32436";"19219";"23140";"23032"
"MU";"1303106";"Nova Olinda do Norte (AM)";"8532";"8258";"8580";"8634";"9250";"7862";"8576"
"MU";"1303205";"Novo Airão (AM)";"921";"693";"640";"640";"404";"399";"430"
"MU";"1303304";"Novo Aripuanã (AM)";"14827";"15630";"15100";"12200";"11850";"12120";"16230"
"MU";"1303403";"Parintins (AM)";"151803";"120535";"124151";"101390";"66667";"56456";"55219"
"MU";"1303502";"Pauini (AM)";"11000";"11000";"11200";"10100";"10100";"8549";"9000"
